,rating,n_reviews,f_rating,s_rating,v_rating,about,price_range,s_diets,cuisines,features,Name,URL,name_letter
258,4.5,1124 ,4.5,4.5,4.5,,,"Lunch, Dinner, Brunch, Late Night, Drinks","Bar, British, Pub, Gastropub","Vegetarian Friendly, Vegan Options, Gluten Free Options",The Victoria,https://www.tripadvisor.com/Restaurant_Review-g186338-d3208695-Reviews-The_Victoria-London_England.html,thevictoria
259,4.5,2347 ,4.5,4.5,4.0,"Goodman is a uniquely British interpretation of a New York grill, offering the best beef from both sides of the Atlantic. Among the huge selection of meat we serve in our Mayfair restaurant is America",?48 - ?48,Gluten Free Options,American,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Goodman Mayfair,https://www.tripadvisor.com/Restaurant_Review-g186338-d1382002-Reviews-Goodman_Mayfair-London_England.html,goodmanmayfair
260,4.5,142 ,4.5,5.0,4.5,,?5 - ?16,"Vegetarian Friendly, Vegan Options, Gluten Free Options","French, European",,Le Petit Citron,https://www.tripadvisor.com/Restaurant_Review-g186338-d15673122-Reviews-Le_Petit_Citron-London_England.html,lepetitcitron
261,4.5,410 ,4.5,5.0,4.5,,?22 - ?36,"Vegetarian Friendly, Vegan Options, Gluten Free Options","African, Ethiopian",,Mosob Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d733341-Reviews-Mosob_Restaurant-London_England.html,mosobrestaurant
262,4.5,536 ,4.5,4.5,4.5,,?28 - ?90,"Vegetarian Friendly, Vegan Options, Gluten Free Options","French, European",,The White Onion,https://www.tripadvisor.com/Restaurant_Review-g186338-d2359208-Reviews-The_White_Onion-London_England.html,thewhiteonion
263,4.5,522 ,4.5,4.5,4.0,"Constancia is an independent, family-run Argentine grill and steak house, located in the heart of Bermondsey's former tannery and leather district. Established in 2009, we quickly gained a reputation ",,"Lunch, Dinner",Gluten Free Options,"Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Gift Card",Constancia,https://www.tripadvisor.com/Restaurant_Review-g186338-d2216518-Reviews-Constancia-London_England.html,constancia
265,4.5,426 ,4.5,4.5,4.0,,,"Lunch, Dinner, Late Night","French, European","Vegetarian Friendly, Gluten Free Options",Otto's,https://www.tripadvisor.com/Restaurant_Review-g186338-d2558058-Reviews-Otto_s-London_England.html,ottos
266,4.5,1874 ,5.0,4.5,4.5,"Priding ourselves on our motto ÃÂ¢ÃÂÃÂFamous for fishÃÂ¢ÃÂÃÂ Smiths Restaurants is a name that has become synonymous with fine dining and quality, attentive service. To compliment the qualit",,"Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options","Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations, Free Wifi, Accepts Credit Cards, Table Service, Live ",Smith's,https://www.tripadvisor.com/Restaurant_Review-g186338-d2165221-Reviews-Smith_s-London_England.html,smiths
268,4.5,1044 ,4.0,4.0,4.0,"We're a little Neapolitan pizzeria in Soho with alfresco dining. Informal, friendly and fun with a range of pizzas and friggitoria items available.",?5 - ?15,"Vegetarian Friendly, Vegan Options","Italian, Neapolitan, Campania, Southern-Italian","Delivery, Takeout, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",Pizza Pilgrims,https://www.tripadvisor.com/Restaurant_Review-g186338-d7291976-Reviews-Pizza_Pilgrims-London_England.html,pizzapilgrims
270,4.5,1590 ,4.0,4.5,4.0,,?8 - ?19,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Italian,,Bella Italia,https://www.tripadvisor.com/Restaurant_Review-g186338-d2011019-Reviews-Bella_Italia-London_England.html,bellaitalia
271,4.5,306 ,4.5,4.5,4.5,,?4 - ?9,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Cafe, British, Healthy",,Blighty Cafe (Finsbury Park),https://www.tripadvisor.com/Restaurant_Review-g186338-d5433643-Reviews-Blighty_Cafe_Finsbury_Park-London_England.html,blightycafe(finsburypark)
274,4.5,356 ,4.5,4.5,4.5,,,"Breakfast, Lunch, Brunch","Cafe, European, British, Healthy, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",Dulce Cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d5953939-Reviews-Dulce_Cafe-London_England.html,dulcecafe
275,4.5,371 ,4.5,4.5,4.5,,?12 - ?30,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Wine Bar, Italian, Cafe, Mediterranean",,Casa Tua Camden,https://www.tripadvisor.com/Restaurant_Review-g186338-d6440616-Reviews-Casa_Tua_Camden-London_England.html,casatuacamden
276,4.5,848 ,5.0,4.5,4.5,There is no better way to celebrate the restaurantÃÂ¢ÃÂÃÂs tenth anniversary than with a remarkable relaunch of a brand new design for our Michelin starred establishment. This beautiful new resta,?38 - ?105,"Vegetarian Friendly, Vegan Options, Gluten Free Options","European, British","Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Tabl",Seven Park Place By William Drabble,https://www.tripadvisor.com/Restaurant_Review-g186338-d1554178-Reviews-Seven_Park_Place_By_William_Drabble-London_England.html,sevenparkplacebywilliamdrabble
277,4.5,612 ,4.0,4.5,4.0,,?5 - ?16,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Brew Pub, Bar, British, Dining bars",,The Swan,https://www.tripadvisor.com/Restaurant_Review-g186338-d4041021-Reviews-The_Swan-London_England.html,theswan
278,4.5,588 ,4.5,4.5,4.5,,,"Lunch, Dinner, Late Night","Seafood, British","Vegetarian Friendly, Gluten Free Options",Fish Central,https://www.tripadvisor.com/Restaurant_Review-g186338-d1016482-Reviews-Fish_Central-London_England.html,fishcentral
280,4.5,388 ,4.5,4.5,4.0,,,"Breakfast, Lunch, Drinks","European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",The Rosebery,https://www.tripadvisor.com/Restaurant_Review-g186338-d6637432-Reviews-The_Rosebery-London_England.html,therosebery
282,4.5,3482 ,4.5,4.5,4.5,,?5 - ?25,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Indian,,Chettinad Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d737343-Reviews-Chettinad_Restaurant-London_England.html,chettinadrestaurant
283,4.5,226 ,4.0,4.5,4.5,,,"Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar","Bar, British, Pub",Drinks,The Pride of Spitalfields,https://www.tripadvisor.com/Restaurant_Review-g186338-d4107793-Reviews-The_Pride_of_Spitalfields-London_England.html,theprideofspitalfields
284,4.5,310 ,4.5,4.5,4.5,"The Little Taperia is an award-winning, friendly, neighbourhood Spanish tapas bar and restaurant. We have just won Time Out's Love Local Awards Best Restaurant in Tooting for the second year in a row!",?16 - ?24,"Vegetarian Friendly, Gluten Free Options","Mediterranean, European, Spanish","Wheelchair Accessible, Accepts Visa, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Mastercard, Free Wifi, Accepts Credit Cards, Table Service",The Little Taperia,https://www.tripadvisor.com/Restaurant_Review-g186338-d8320074-Reviews-The_Little_Taperia-London_England.html,thelittletaperia
285,4.5,340 ,4.5,4.5,5.0,,,"Breakfast, Lunch, Dinner, Brunch","Italian, Cafe, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",Sapori Cafe' and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d5292714-Reviews-Sapori_Cafe_and_Restaurant-London_England.html,saporicafeandrestaurant
287,4.5,250 ,5.0,4.5,4.5,"PURE Indian cooking prides itself in being a family run restaurant and one with impeccable credentials. Owned by the husband and wife team of Faheem Vanoo and Shilpa Dandekar, both of whom started the",?42 - ?66,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Asian, Indian","Takeout, Reservations, Seating, Street Parking, Free off-street parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Delivery",Pure Indian Cooking,https://www.tripadvisor.com/Restaurant_Review-g186338-d7189021-Reviews-Pure_Indian_Cooking-London_England.html,pureindiancooking
288,4.5,1537 ,4.0,4.5,4.0,We aspire to be the very best in what we do: delivering the finest steak and freshest lobster to your plate. We believe simplicity is key and let the food speak for itself. With freshly caught lobster,?22 - ?48,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Steakhouse, Seafood, European, British","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer",Steak And Lobster Warren Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d6677263-Reviews-Steak_And_Lobster_Warren_Street-London_England.html,steakandlobsterwarrenstreet
289,4.5,1013 ,4.5,4.5,4.5,,?10 - ?24,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Bar, British, Pub, Gastropub",,Union Tavern,https://www.tripadvisor.com/Restaurant_Review-g186338-d720871-Reviews-Union_Tavern-London_England.html,uniontavern
290,4.5,346 ,4.5,4.5,4.0,,?30 - ?48,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Indian, Asian",,Flora Indica,https://www.tripadvisor.com/Restaurant_Review-g186338-d10455238-Reviews-Flora_Indica-London_England.html,floraindica
291,4.5,590 ,4.5,4.5,4.0,"With two central locations, Chisou serves some of the best Japanese cuisine in London. Our Izakaya style dining is a fantastic way to experience a great selection of Japanese food as guests are encour",?42 - ?96,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Japanese, Sushi, Asian","Delivery, Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Accepts American Express, Accepts Mastercard, A",Chisou Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186338-d734256-Reviews-Chisou_Japanese_Restaurant-London_England.html,chisoujapaneserestaurant
292,4.5,277 ,4.5,4.5,4.0,,,Dinner,"Italian, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",Popolo Shoreditch,https://www.tripadvisor.com/Restaurant_Review-g186338-d11689131-Reviews-Popolo_Shoreditch-London_England.html,popoloshoreditch
293,4.5,627 ,4.5,4.5,4.5,"Kibele Restaurant offers simple yet brilliantly executed Mediterranean Turkish dishes with authentic and fresh ingredients. Kibele may have evolved from an Anatolian Mother Goddess of fertility, love ",,"Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Gift Cards Available",Kibele Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d12290895-Reviews-Kibele_Restaurant_Bar-London_England.html,kibelerestaurant&bar
294,4.5,1541 ,4.5,4.5,4.0,"Situated in the heart of Kensington, The Light of India restaurant is a classy and elegant Indian restaurant established in 1984. Dishes are derived from the Moghul cuisine of North West India where f",,"Breakfast, Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Light of India,https://www.tripadvisor.com/Restaurant_Review-g186338-d2036992-Reviews-Light_of_India-London_England.html,lightofindia
295,4.5,2669 ,4.5,4.5,4.5,,,"Breakfast, Lunch, Dinner, Brunch, Late Night",British,"Vegetarian Friendly, Vegan Options, Gluten Free Options",The Foyer At Claridge's,https://www.tripadvisor.com/Restaurant_Review-g186338-d1106756-Reviews-The_Foyer_At_Claridge_s-London_England.html,thefoyeratclaridges
298,4.5,733 ,4.5,4.5,4.0,,?18 - ?60,Gluten Free Options,"Steakhouse, Argentinean",,The Bull Steak Expert,https://www.tripadvisor.com/Restaurant_Review-g186338-d2704738-Reviews-The_Bull_Steak_Expert-London_England.html,thebullsteakexpert
299,4.5,296 ,4.5,4.5,4.5,,?3 - ?15,"Vegetarian Friendly, Vegan Options","Cafe, British",,Beck's cafe,https://www.tripadvisor.com/Restaurant_Review-g186338-d816904-Reviews-Beck_s_cafe-London_England.html,beckscafe
